utente/$/$/hotel,brec,drec,urec
A Traveler/$/$/Hotel Eug��ne En Ville,0.54,0.46,0.0
A Traveler/$/$/Comfort Inn and Suites,0.57,0.43,0.0
A Traveler/$/$/City Express Irapuato,0.6,0.39,0.01
A Traveler/$/$/Castle Kona Reef,0.51,0.49,0.0
A Traveler/$/$/The Savoy Hotel,0.62,0.38,0.0
A Traveler/$/$/Holiday Inn Express & Suites Crossville,0.55,0.45,0.0
A Traveler/$/$/Holiday Inn Express Hotel and Suites Hesperia,0.6,0.4,0.0
A Traveler/$/$/Best Western Saint-etienne Aeroport,0.64,0.35,0.01
A Traveler/$/$/Holiday Inn Victorville,0.6,0.4,0.0
A Traveler/$/$/Quality Inn and Suites Big Rapids,0.56,0.44,0.0
A Traveler/$/$/Inturotel Esmeralda Park,0.65,0.34,0.01
A Traveler/$/$/Knights Inn Carmel Hill,0.29,0.71,0.0
A Traveler/$/$/Summit At Big Sky,0.55,0.44,0.01
A Traveler/$/$/Holiday Inn Express Hotel and Suites Cambridge,0.67,0.33,0.0
A Traveler/$/$/Holiday Inn Express Hotel & Suites Emporia,0.52,0.48,0.0
A Traveler/$/$/Cherokee Lodge Bed and Breakfast,0.55,0.45,0.0
A Traveler/$/$/Quality Inn Gulfport,0.2,0.8,0.0
A Traveler/$/$/Residence Inn By Marriott Deptford,0.54,0.46,0.0
A Traveler/$/$/Holiday Inn Express Hotel and Suites Meadowlands Area,0.56,0.44,0.0
Maud/$/$/Hotel Russo Palace,0.04,0.89,0.07
Julie/$/$/Hotel Russo Palace,0.01,0.96,0.03
Julie/$/$/Best Western Plus Waterville Grand Hotel,0.04,0.95,0.01
Julie/$/$/Days Inn Branson / Near The Strip,0.02,0.96,0.02
Julie/$/$/Country Inn Walker,0.0,1.0,0.0
Julie/$/$/Hotel De La Ville,0.03,0.96,0.01
Julie/$/$/Ramada,0.06,0.92,0.02
Julie/$/$/Holiday Inn Express Hotel and Suites Memphis Southwind,0.0,0.98,0.02
Julie/$/$/Americinn Coralville,0.03,0.96,0.01
Julie/$/$/Hyatt Place San Antonio Airport - Quarry Market,0.06,0.93,0.01
Julie/$/$/Tidewater Inn,0.05,0.94,0.01
Julie/$/$/Howard Johnson Inn - Newburgh,0.55,0.44,0.01
Julie/$/$/Comfort Inn Birmingham - Irondale,0.08,0.91,0.01
Julie/$/$/Ip Casino Resort Spa,0.02,0.97,0.01
Julie/$/$/Palm Suites,0.06,0.93,0.01
Julie/$/$/Super 8 Batesville Ar,0.08,0.9,0.02
Julie/$/$/Hyatt House Colorado Springs,0.0,1.0,0.0
Julie/$/$/Red Roof Inn Erie,0.0,1.0,0.0
Julie/$/$/Mccamly Plaza Hotel,0.03,0.96,0.01
Julie/$/$/Baymont Inn and Suites Boone,0.08,0.9,0.02
Julie/$/$/Hotel Valencia Santana Row,0.0,1.0,0.0
Julie/$/$/Drury Inn and Suites Columbus Convention Center,0.73,0.26,0.01
Julie/$/$/Americas Best Value Inn,0.09,0.91,0.0
Julie/$/$/Holiday Inn Express Hotel & Suites Emporia,0.07,0.91,0.02
sungchul/$/$/Hotel Russo Palace,0.04,0.89,0.07
Doppeldecker/$/$/Hotel Russo Palace,0.0,1.0,0.0
Couple/$/$/Hotel Russo Palace,0.0,1.0,0.0
ahsas/$/$/Hotel Russo Palace,0.68,0.25,0.07
Elisabet/$/$/Hotel Russo Palace,0.0,1.0,0.0
Mark W/$/$/Hotel Russo Palace,0.0,1.0,0.0
Mark W/$/$/Hampton Inn Dublin,0.0,1.0,0.0
Mark W/$/$/Hilton Garden Inn Oconomowoc,0.0,1.0,0.0
Mrs Gardner/$/$/Hotel Russo Palace,0.0,1.0,0.0
Simon/$/$/Hotel Russo Palace,0.0,1.0,0.0
Simon/$/$/Holiday Inn Canyon De Chelly,0.01,0.95,0.04
Simon/$/$/H��tel Les Bruy��res,0.0,1.0,0.0
Simon/$/$/Americas Best Value Inn,0.08,0.91,0.01
Martyn/$/$/Hotel Russo Palace,0.04,0.89,0.07
J��rgen + Sandra/$/$/Hotel Russo Palace,0.04,0.89,0.07
A & D/$/$/Hotel Russo Palace,0.04,0.89,0.07
Niklas/$/$/Hotel Russo Palace,0.0,1.0,0.0
G��nni/$/$/Hotel Russo Palace,0.0,1.0,0.0
Armando/$/$/Hotel Russo Palace,0.0,1.0,0.0
