utente/$/$/hotel,somma
Simon/$/$/H��tel Les Bruy��res,0.46
Simon/$/$/Americas Best Value Inn,0.38
Martyn/$/$/Hotel Russo Palace,0.47
J��rgen + Sandra/$/$/Hotel Russo Palace,0.47
A & D/$/$/Hotel Russo Palace,0.47
Niklas/$/$/Hotel Russo Palace,0.43
G��nni/$/$/Hotel Russo Palace,0.43
Armando/$/$/Hotel Russo Palace,0.43
Armando/$/$/Hyatt Place San Antonio Airport - Quarry Market,0.4
Armando/$/$/Howard Johnson Inn - Newburgh,0.35
Armando/$/$/Fiesta Inn and Suites,0.26
Armando/$/$/Drury Inn and Suites Columbus Convention Center,0.5
serge/$/$/Hotel Russo Palace,0.43
Mari_ana/$/$/Hotel Russo Palace,0.43
Olivier/$/$/Hotel Russo Palace,0.47
"Olivier/$/$/The Alexandrian, Autograph Collection",1.35
Olivier/$/$/Fh Hotel Villa Fiesole,0.53
Olivier/$/$/Hotel Casena Dei Colli,0.46
Richard/$/$/Hotel Russo Palace,0.46
Richard/$/$/Fairfield Inn By Marriott Binghamton,0.59
Richard/$/$/Days Inn Branson / Near The Strip,0.57
Richard/$/$/Comfort Suites Southport,0.97
Richard/$/$/Ambassadors Inn and Suites,0.5
Richard/$/$/Days Inn Brookings,0.48
Richard/$/$/Best Western Plus Arlington North Hotel and Suites,0.56
Richard/$/$/Super 8 Pittsburgh/monroeville,0.48
"Richard/$/$/The Alexandrian, Autograph Collection",1.15
Richard/$/$/Baymont Inn and Suites Enid,0.57
Richard/$/$/Quality Inn and Suites,0.9
Richard/$/$/Wine Valley Lodge,0.59
Richard/$/$/Hyatt Place San Antonio Airport - Quarry Market,0.53
Richard/$/$/Days Inn Bangor Airport,0.53
Richard/$/$/Fh Hotel Villa Fiesole,1.06
Richard/$/$/Pelican Shores Inn,0.74
Richard/$/$/The Kinney - Venice Beach,0.55
Richard/$/$/Plaza Hotel and Casino - Las Vegas,0.5
Richard/$/$/Holiday Inn Express - Harrisburg East,0.48
Richard/$/$/Dallas/fort Worth Marriott Solana,0.61
Richard/$/$/Hampton Inn Abilene,0.49
Richard/$/$/Tidewater Inn,0.48
Richard/$/$/Americas Best Value Inn,0.46
Richard/$/$/La Quinta Inn and Suites Nashville Franklin,0.47
Richard/$/$/Chelsea Inn,1.1
Richard/$/$/Quality Inn,0.43
Richard/$/$/Extended Stay America - Raleigh - Cary - Regency Parkway S,0.49
Richard/$/$/Jvd Hotels,0.41
Richard/$/$/Country Inn & Suites By Carlson,0.64
Richard/$/$/Fairfield Inn Saginaw,0.54
Richard/$/$/Harrah's Laughlin Hotel and Casino,0.87
Richard/$/$/Country Inn and Suites By Carlson Charlotte University Place,0.58
Richard/$/$/Hotel Aura Sfo,0.97
Richard/$/$/Best Western Plus San Marcos Inn,1.05
Richard/$/$/Super 8 Schenect/albany Area,0.89
Richard/$/$/Western Inn-glacier Park,0.57
Richard/$/$/Hampton Inn Sarasota - I-75 Bee Ridge,0.49
Richard/$/$/Excellence Riviera Cancun - Adults Only - All Inclusive,0.7
Richard/$/$/Hyatt Place Pittsburgh Cranberry,1.03
Richard/$/$/Best Western Hospitality Hotel and Suites,0.5
Richard/$/$/Comfort Inn Birmingham - Irondale,0.91
Richard/$/$/Super 8 Madison,0.54
Richard/$/$/Ip Casino Resort Spa,0.55
Richard/$/$/Super 8 Bradenton Sarasota Area,0.42
Richard/$/$/Days Inn North Columbia Ft. Jackson,0.46
Richard/$/$/Bayside Resort Hotel,0.63
Richard/$/$/Inn At Mendenhall,0.62
Richard/$/$/Comfort Inn and Suites Bend,0.54
Richard/$/$/La Quinta Inn and Suites Hopkinsville,0.98
